,STATION,NAME,DATE,ACMH,ACSH,AWND,FMTM,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TSUN,WDF1,WDF2,WDF5,WDFG,WDFM,WESD,WSF1,WSF2,WSF5,WSFG,WSFM,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT21,WT22,WV01
0,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1970-01-01,80.0,90.0,,,,0.0,0.0,0.0,,28,22,,330.0,,,,,,14.1,,,,,,,,,,,,1.0,,,,,,,,,,,
1,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1970-01-02,30.0,20.0,,,,0.0,0.0,0.0,,31,22,,290.0,,,,,,17.9,,,,,,,,,,,,,,,,,,,,,,,
2,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1970-01-03,80.0,100.0,,,,0.02,0.0,0.0,,38,25,,310.0,,,,,,17.0,,,,,,,,,,,,1.0,,,,,,1.0,,1.0,,,
3,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1970-01-04,10.0,20.0,,,,0.0,0.0,0.0,,31,23,,300.0,,,,,,17.9,,,,,,,,,,,,,,,,,,,,1.0,,,
4,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1970-01-05,30.0,10.0,,,,0.0,0.0,0.0,,35,21,,270.0,,,,,,19.9,,,,,,,,,,,,1.0,,,,,,,,,,,
5,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1970-01-06,100.0,100.0,,,,0.04,0.3,0.0,,36,28,,40.0,,,,,,19.9,,,,,,,,,,,,1.0,,,,,,,,1.0,,,
6,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1970-01-07,100.0,100.0,,,,0.12,1.2,2.0,,28,22,,40.0,,,,,,21.9,,,,,,,,,,,,,,,,,,,,1.0,,,
7,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1970-01-08,50.0,80.0,,,,0.01,0.0,2.0,,23,8,,280.0,,,,,,30.0,,,,,,,,,,,,1.0,1.0,,,,,,,1.0,,,
8,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1970-01-09,0.0,0.0,,,,0.0,0.0,2.0,,15,6,,300.0,,,,,,25.1,,,,,,,,,,,,,,,,,,,,,,,
9,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1970-01-10,20.0,10.0,,,,0.0,0.0,1.0,,32,10,,290.0,,,,,,28.0,,,,,,,,,,,,,,,,,,,,,,,
