DATE,name,station,tmax,tmin,rolling_3_tmax,rolling_3_tmin,month_avg_tmax,day_avg_tmax,month_avg_tmin,day_avg_tmin,target
1970-01-03,"JFK INTERNATIONAL AIRPORT, NY US",USW00094789,38,25,32.333333333333336,23.0,38.0,38.0,25.0,25.0,31.0
1970-01-04,"JFK INTERNATIONAL AIRPORT, NY US",USW00094789,31,23,33.333333333333336,23.333333333333332,34.5,31.0,24.0,23.0,35.0
1970-01-05,"JFK INTERNATIONAL AIRPORT, NY US",USW00094789,35,21,34.666666666666664,23.0,34.666666666666664,35.0,23.0,21.0,36.0
1970-01-06,"JFK INTERNATIONAL AIRPORT, NY US",USW00094789,36,28,34.0,24.0,35.0,36.0,24.25,28.0,28.0
1970-01-07,"JFK INTERNATIONAL AIRPORT, NY US",USW00094789,28,22,33.0,23.666666666666668,33.6,28.0,23.8,22.0,23.0
1970-01-08,"JFK INTERNATIONAL AIRPORT, NY US",USW00094789,23,8,29.0,19.333333333333332,31.833333333333332,23.0,21.166666666666668,8.0,15.0
1970-01-09,"JFK INTERNATIONAL AIRPORT, NY US",USW00094789,15,6,22.0,12.0,29.428571428571427,15.0,19.0,6.0,32.0
1970-01-10,"JFK INTERNATIONAL AIRPORT, NY US",USW00094789,32,10,23.333333333333332,8.0,29.75,32.0,17.875,10.0,29.0
1970-01-11,"JFK INTERNATIONAL AIRPORT, NY US",USW00094789,29,21,25.333333333333332,12.333333333333334,29.666666666666668,29.0,18.22222222222222,21.0,31.0
1970-01-12,"JFK INTERNATIONAL AIRPORT, NY US",USW00094789,31,24,30.666666666666668,18.333333333333332,29.8,31.0,18.8,24.0,34.0
1970-01-13,"JFK INTERNATIONAL AIRPORT, NY US",USW00094789,34,25,31.333333333333332,23.333333333333332,30.181818181818183,34.0,19.363636363636363,25.0,26.0
1970-01-14,"JFK INTERNATIONAL AIRPORT, NY US",USW00094789,26,16,30.333333333333332,21.666666666666668,29.833333333333332,26.0,19.083333333333332,16.0,29.0
1970-01-15,"JFK INTERNATIONAL AIRPORT, NY US",USW00094789,29,13,29.666666666666668,18.0,29.76923076923077,29.0,18.615384615384617,13.0,36.0
1970-01-16,"JFK INTERNATIONAL AIRPORT, NY US",USW00094789,36,21,30.333333333333332,16.666666666666668,30.214285714285715,36.0,18.785714285714285,21.0,43.0
1970-01-17,"JFK INTERNATIONAL AIRPORT, NY US",USW00094789,43,30,36.0,21.333333333333332,31.066666666666666,43.0,19.533333333333335,30.0,42.0
1970-01-18,"JFK INTERNATIONAL AIRPORT, NY US",USW00094789,42,25,40.333333333333336,25.333333333333332,31.75,42.0,19.875,25.0,25.0
1970-01-19,"JFK INTERNATIONAL AIRPORT, NY US",USW00094789,25,16,36.666666666666664,23.666666666666668,31.352941176470587,25.0,19.647058823529413,16.0,24.0
1970-01-20,"JFK INTERNATIONAL AIRPORT, NY US",USW00094789,24,15,30.333333333333332,18.666666666666668,30.944444444444443,24.0,19.38888888888889,15.0,24.0
1970-01-21,"JFK INTERNATIONAL AIRPORT, NY US",USW00094789,24,9,24.333333333333332,13.333333333333334,30.57894736842105,24.0,18.842105263157894,9.0,21.0
1970-01-22,"JFK INTERNATIONAL AIRPORT, NY US",USW00094789,21,8,23.0,10.666666666666666,30.1,21.0,18.3,8.0,29.0
1970-01-23,"JFK INTERNATIONAL AIRPORT, NY US",USW00094789,29,13,24.666666666666668,10.0,30.047619047619047,29.0,18.047619047619047,13.0,28.0
1970-01-24,"JFK INTERNATIONAL AIRPORT, NY US",USW00094789,28,18,26.0,13.0,29.954545454545453,28.0,18.045454545454547,18.0,36.0
1970-01-25,"JFK INTERNATIONAL AIRPORT, NY US",USW00094789,36,24,31.0,18.333333333333332,30.217391304347824,36.0,18.304347826086957,24.0,48.0
1970-01-26,"JFK INTERNATIONAL AIRPORT, NY US",USW00094789,48,34,37.333333333333336,25.333333333333332,30.958333333333332,48.0,18.958333333333332,34.0,36.0
1970-01-27,"JFK INTERNATIONAL AIRPORT, NY US",USW00094789,36,28,40.0,28.666666666666668,31.16,36.0,19.32,28.0,40.0
1970-01-28,"JFK INTERNATIONAL AIRPORT, NY US",USW00094789,40,31,41.333333333333336,31.0,31.5,40.0,19.76923076923077,31.0,49.0
1970-01-29,"JFK INTERNATIONAL AIRPORT, NY US",USW00094789,49,40,41.666666666666664,33.0,32.148148148148145,49.0,20.51851851851852,40.0,47.0
1970-01-30,"JFK INTERNATIONAL AIRPORT, NY US",USW00094789,47,24,45.333333333333336,31.666666666666668,32.67857142857143,47.0,20.642857142857142,24.0,36.0
1970-01-31,"JFK INTERNATIONAL AIRPORT, NY US",USW00094789,36,22,44.0,28.666666666666668,32.793103448275865,36.0,20.689655172413794,22.0,48.0
1970-02-01,"JFK INTERNATIONAL AIRPORT, NY US",USW00094789,48,34,43.666666666666664,26.666666666666668,48.0,48.0,34.0,34.0,49.0
1970-02-02,"JFK INTERNATIONAL AIRPORT, NY US",USW00094789,49,36,44.333333333333336,30.666666666666668,48.5,49.0,35.0,36.0,50.0
1970-02-03,"JFK INTERNATIONAL AIRPORT, NY US",USW00094789,50,24,49.0,31.333333333333332,49.0,50.0,31.333333333333332,24.0,24.0
1970-02-04,"JFK INTERNATIONAL AIRPORT, NY US",USW00094789,24,13,41.0,24.333333333333332,42.75,24.0,26.75,13.0,36.0
1970-02-05,"JFK INTERNATIONAL AIRPORT, NY US",USW00094789,36,14,36.666666666666664,17.0,41.4,36.0,24.2,14.0,37.0
1970-02-06,"JFK INTERNATIONAL AIRPORT, NY US",USW00094789,37,32,32.333333333333336,19.666666666666668,40.666666666666664,37.0,25.5,32.0,42.0
1970-02-07,"JFK INTERNATIONAL AIRPORT, NY US",USW00094789,42,30,38.333333333333336,25.333333333333332,40.857142857142854,42.0,26.142857142857142,30.0,39.0
1970-02-08,"JFK INTERNATIONAL AIRPORT, NY US",USW00094789,39,29,39.333333333333336,30.333333333333332,40.625,39.0,26.5,29.0,41.0
1970-02-09,"JFK INTERNATIONAL AIRPORT, NY US",USW00094789,41,33,40.666666666666664,30.666666666666668,40.666666666666664,41.0,27.22222222222222,33.0,46.0
1970-02-10,"JFK INTERNATIONAL AIRPORT, NY US",USW00094789,46,37,42.0,33.0,41.2,46.0,28.2,37.0,45.0
1970-02-11,"JFK INTERNATIONAL AIRPORT, NY US",USW00094789,45,36,44.0,35.333333333333336,41.54545454545455,45.0,28.90909090909091,36.0,37.0
1970-02-12,"JFK INTERNATIONAL AIRPORT, NY US",USW00094789,37,30,42.666666666666664,34.333333333333336,41.166666666666664,37.0,29.0,30.0,32.0
1970-02-13,"JFK INTERNATIONAL AIRPORT, NY US",USW00094789,32,22,38.0,29.333333333333332,40.46153846153846,32.0,28.46153846153846,22.0,24.0
1970-02-14,"JFK INTERNATIONAL AIRPORT, NY US",USW00094789,24,17,31.0,23.0,39.285714285714285,24.0,27.642857142857142,17.0,35.0
